Month,sinema
2004-01,58
2004-02,66
2004-03,40
2004-04,48
2004-05,56
2004-06,41
2004-07,42
2004-08,40
2004-09,46
2004-10,49
2004-11,62
2004-12,53
2005-01,54
2005-02,52
2005-03,47
2005-04,41
2005-05,40
2005-06,37
2005-07,36
2005-08,34
2005-09,35
2005-10,40
2005-11,56
2005-12,61
2006-01,61
2006-02,68
2006-03,38
2006-04,36
2006-05,35
2006-06,29
2006-07,31
2006-08,31
2006-09,32
2006-10,38
2006-11,41
2006-12,39
2007-01,43
2007-02,43
2007-03,40
2007-04,32
2007-05,30
2007-06,29
2007-07,29
2007-08,34
2007-09,32
2007-10,33
2007-11,40
2007-12,50
2008-01,51
2008-02,59
2008-03,54
2008-04,38
2008-05,36
2008-06,38
2008-07,47
2008-08,45
2008-09,45
2008-10,52
2008-11,61
2008-12,85
2009-01,64
2009-02,71
2009-03,56
2009-04,58
2009-05,48
2009-06,49
2009-07,57
2009-08,51
2009-09,51
2009-10,57
2009-11,73
2009-12,69
2010-01,79
2010-02,68
2010-03,61
2010-04,50
2010-05,43
2010-06,44
2010-07,50
2010-08,45
2010-09,44
2010-10,47
2010-11,58
2010-12,50
2011-01,60
2011-02,64
2011-03,48
2011-04,44
2011-05,41
2011-06,41
2011-07,48
2011-08,49
2011-09,48
2011-10,52
2011-11,66
2011-12,64
2012-01,63
2012-02,72
2012-03,54
2012-04,42
2012-05,39
2012-06,39
2012-07,44
2012-08,43
2012-09,38
2012-10,38
2012-11,54
2012-12,50
2013-01,63
2013-02,58
2013-03,44
2013-04,38
2013-05,33
2013-06,33
2013-07,32
2013-08,38
2013-09,32
2013-10,42
2013-11,52
2013-12,70
2014-01,64
2014-02,82
2014-03,57
2014-04,49
2014-05,35
2014-06,36
2014-07,33
2014-08,36
2014-09,34
2014-10,53
2014-11,63
2014-12,63
2015-01,77
2015-02,72
2015-03,56
2015-04,55
2015-05,42
2015-06,35
2015-07,32
2015-08,35
2015-09,46
2015-10,51
2015-11,48
2015-12,69
2016-01,74
2016-02,66
2016-03,48
2016-04,39
2016-05,39
2016-06,35
2016-07,34
2016-08,38
2016-09,40
2016-10,51
2016-11,65
2016-12,63
2017-01,74
2017-02,81
2017-03,60
2017-04,59
2017-05,42
2017-06,45
2017-07,43
2017-08,43
2017-09,45
2017-10,58
2017-11,88
2017-12,79
2018-01,100
2018-02,69
2018-03,57
2018-04,50
2018-05,43
2018-06,42
2018-07,40
2018-08,43
2018-09,41
2018-10,61
2018-11,85
2018-12,73
2019-01,77
2019-02,63
2019-03,45
2019-04,48
2019-05,33
2019-06,41
2019-07,39
2019-08,43
2019-09,36
2019-10,85
2019-11,81
2019-12,64
